Various Artists
Billy Childs
Billy Eckstine
Billy Hart
Bob Brookmeyer
Bob Cranshaw
Bob Crosby & His Orchestra
Bob Malach
Bob Mintzer
Bobby Hackett
Booker Ervin
Buell Neidlinger
Bunny Brunel
Charlie Parker
Chet Baker
Chico Freeman
Chico Hamilton
Christian McBride
Claudio Roditi
Cleo Laine
Dan Siegel
Dave Holland
Dave Mackay
Dave Valentin
David Murray
David Sanborn
Dean Cortez
Dee Dee Bridgewater
Denny Zeitlin
Dinah Washington
Dizzy Reece
Django Reinhardt
Doc Severinsen
Don Ellis
Don Grolnick
Dori Caymmi
Doug Watkins
Dr Michael White
Easy Mo Bee
Eddie "Lockjaw" Davis
El DeBarge
Elis Regina
Eric Marienthal
Ernie Royal
Fred Astaire
Garnett Brown
George Gershwin
George Shearing
Gerry Mulligan Quartet
Gil Goldstein
Gonzalo Rubalcaba
Hal Galper
Hal McKusick
Hampton Hawes
Hank Crawford
Hank Roberts
Harold Danko
Harry James & His Orchestra
Henry Grimes
Hiram Bullock
Hot Lips Page
Illinois Jacquet
J. J. Johnson
J.R. Monterose
Jack McDuff
Jack Montrose
Jaco Pastorius
Jake Hanna
James Horner
James Spaulding
James Taylor
Jason Rebello
Jay Leonhart
Jim Brock
Jimmie Lunceford & His Orchestra
Jimmy Forrest
Jimmy Johnson
Jimmy Lyons
Joe Bushkin
Joe LaBarbera
Joe Zawinul
Joey Baron
John Heard
John Patitucci
John Scofield
Johnny St. Cyr
Jonas Hellborg
Joshua Redman
Joyce Collins
Jr. George Porter
Julius LaRosa
Kevin Eubanks
L.A. Reid
Lani Groves
Larry Willis
Lee Wiley
Lester Bowie
Liz Gorrill
Luis Conte
Malta
Manhattan Jazz Quintet
Marlena Shaw
Marlene Verplanck
Martial Solal
Marty Ehrlich
Marvin "Smitty" Smith
Mary Lou Williams
Mel Tormé
Melvin Rhyne
Mercer Ellington
Merry Clayton
Mike Mainieri
Mike Melvoin
Mongo Santamaria
Monty Budwig
Najee
Nana Vasconcelos
Nancy Wilson
Omar Alfanno
Onaje Allan Gumbs
Palle Danielsson
Pat Martino
Pat Murphy
Patrick Sky
Patti LaBelle
Paul Desmond
Paula Abdul
Pebbles
Peter O'Mara
Phil Bodner
Ramsey Lewis
Randy Crawford
Ray Eberle
Red Rodney
Rene Rosnes
Johannes Sebastian Bach
